"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2011",42.614,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2011",11.545,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2011",22.027,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2011",8.824,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2011",0.218,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2011",20.721,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2011",5.788,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2011",10.981,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2011",3.757,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2011",0.195,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2011",21.893,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2011",5.757,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2011",11.046,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2011",5.067,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2011",0.023,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","2011",42.614,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","2011",3.333,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","2011",3.301,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","2011",4.911,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","2011",7.337,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","2011",8.741,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","2011",0.263,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","2011",4.073,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","2011",1.613,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","2011",8.824,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_0","2011",0.172,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","2011",0.046,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_ISCO88_TOTAL","2011",20.721,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_ISCO88_1","2011",1.616,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_ISCO88_2","2011",1.665,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_ISCO88_3","2011",2.507,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_ISCO88_4","2011",2.135,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_ISCO88_5","2011",3.279,,,,
"ABW","BA:829","EES_TEES_SEX_OCU_NB","SEX_M","OCU_ISCO88_6","2011",0.172,,,,
