"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_TOTAL","2021",86.125,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_L3-4","2021",43.696,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_L2","2021",92.615,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_L1","2021",87.489,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_X","2021",61.086,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_TOTAL","2021",82.633,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_L3-4","2021",43.342,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_L2","2021",90.008,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_L1","2021",87.346,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_X","2021",44.457,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_TOTAL","2021",97.295,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_L3-4","2021",46.845,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_L2","2021",99.168,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_L1","2021",91.351,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_X","2021",100,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_TOTAL","2021",86.125,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_1","2021",34.971,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_2","2021",45.099,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_3","2021",50.088,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_4","2021",68.488,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_5","2021",77.222,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_6","2021",99.164,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_7","2021",84.95,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_8","2021",78.626,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_9","2021",87.489,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_0","2021",19.345,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_X","2021",95.891,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_TOTAL","2021",82.633,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_1","2021",36.043,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_2","2021",43.975,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_3","2021",51.203,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_4","2021",68.488,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_5","2021",76.724,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_6","2021",98.853,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_7","2021",76.981,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_8","2021",78.568,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_9","2021",87.346,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_0","2021",19.345,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_ISCO08_X","2021",90.889,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_TOTAL","2021",97.295,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_2","2021",51.805,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_3","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_5","2021",100,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_6","2021",99.744,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_7","2021",96.674,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_8","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_9","2021",91.351,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_ISCO08_X","2021",100,,,,"R1:3513_S3:8"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_TOTAL","2025",94.998,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_L3-4","2025",80.913,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_L2","2025",96.083,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_L1","2025",96.419,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_SKILL_X","2025",99.956,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_TOTAL","2025",92.709,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_L3-4","2025",80.215,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_L2","2025",94.041,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_L1","2025",94.841,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_M","OCU_SKILL_X","2025",99.931,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_TOTAL","2025",97.164,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_L3-4","2025",82.479,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_L2","2025",97.92,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_L1","2025",97.11,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_F","OCU_SKILL_X","2025",100,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_TOTAL","2025",94.998,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_1","2025",68.102,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_2","2025",85.076,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_3","2025",78.021,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_4","2025",76.933,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_5","2025",92.969,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_6","2025",99.678,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_7","2025",89.836,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_8","2025",87.229,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_9","2025",96.419,,,,"R1:3513"
"AGO","BA:13951","EMP_NIFL_SEX_OCU_RT","SEX_T","OCU_ISCO08_0","2025",99.886,,,,"R1:3513"
