"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_TOTAL","2021",7679.474,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_02","2021",209.728,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_11","2021",7.876,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_12","2021",89.945,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_13","2021",23.102,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_14","2021",10.688,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_21","2021",22.794,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_22","2021",63.733,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_23","2021",236.394,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_24","2021",9.108,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_26","2021",58.692,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_32","2021",9.93,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_33","2021",76.513,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_34","2021",7.447,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_41","2021",2.385,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_42","2021",8.611,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_51","2021",109.479,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_52","2021",717.863,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_53","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_54","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_61","2021",1025.166,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_62","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_63","2021",2619.84,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_71","2021",141.957,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_72","2021",126.705,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_73","2021",165.871,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_74","2021",18.878,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_75","2021",289.513,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_81","2021",7.502,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_82","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_83","2021",358.542,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_91","2021",36.888,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_92","2021",108.091,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_93","2021",831.155,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_94","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_96","2021",26.604,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_X","2021",251.519,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_TOTAL","2021",5850.428,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_02","2021",209.728,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_11","2021",7.876,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_12","2021",86.837,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_13","2021",22.293,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_14","2021",10.688,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_21","2021",22.794,,,,"R1:3513_S3:8"
