"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_TOTAL","2021",41.79,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_02","2021",51.23,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_11","2021",,"U",,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_12","2021",43.95,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_13","2021",43.53,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_14","2021",,"U",,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_21","2021",44.63,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_22","2021",38.89,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_23","2021",28.96,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_24","2021",35.62,"U",,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_26","2021",38.14,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_32","2021",45.18,"U",,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_33","2021",40.29,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_34","2021",,"U",,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_41","2021",,"U",,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_42","2021",37.41,"U",,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_51","2021",58.43,,,"R1:3513_S3:8"
"AFG","BA:15715","HOW_XEES_SEX_OC2_NB","SEX_T","OC2_ISCO08_52","2021",48.4,,,"R1:3513_S3:8"
