"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2020",90.93,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2020",151.98,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2020",61.85,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2020",43.6,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2020",63.98,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2020",81.67,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2020",135.36,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2020",60.44,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2020",42.75,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2020",63.18,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2020",183.93,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2020",216.61,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2020",95.67,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2020",52.04,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2020",132.04,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2020",90.93,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2020",117.85,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2020",180.16,"B",,"T30:110_I11:264","R1:3513"
