"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_AGGREGATE_TOTAL","2020",13202.245,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_AGGREGATE_LTB","2020",10716.767,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_AGGREGATE_BAS","2020",11472.068,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_AGGREGATE_INT","2020",11965.933,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_AGGREGATE_ADV","2020",17932.493,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_AGGREGATE_X","2020",14804.278,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_M","EDU_AGGREGATE_TOTAL","2020",13439.387,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_M","EDU_AGGREGATE_LTB","2020",10657.404,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_M","EDU_AGGREGATE_BAS","2020",11505.01,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_M","EDU_AGGREGATE_INT","2020",12411.523,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_M","EDU_AGGREGATE_ADV","2020",18831.417,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_M","EDU_AGGREGATE_X","2020",14670.619,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_F","EDU_AGGREGATE_TOTAL","2020",10843.294,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_F","EDU_AGGREGATE_LTB","2020",12190.05,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_F","EDU_AGGREGATE_BAS","2020",10114.981,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_F","EDU_AGGREGATE_INT","2020",9199.068,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_F","EDU_AGGREGATE_ADV","2020",12084.086,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_F","EDU_AGGREGATE_X","2020",16210.426,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_TOTAL","2020",13202.245,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_X","2020",10922.208,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_0","2020",9742.657,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_1","2020",11728.23,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_2","2020",11129.828,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_3","2020",13220.525,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_4","2020",9660.902,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_5","2020",13092.343,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_6","2020",18776.369,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_7","2020",43859.495,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_T","EDU_ISCED11_9","2020",14804.278,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","EAR_EMTA_SEX_EDU_NB","SEX_M","EDU_ISCED11_TOTAL","2020",13439.387,"B",,"T30:110_I11:264","R1:3513"
