"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2021",6613.952,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2021",269.263,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2021",5183.822,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2021",879.11,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2021",281.757,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2021",4834.379,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2021",240.081,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2021",3604.347,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2021",846.285,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2021",143.666,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2021",1779.573,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2021",29.182,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2021",1579.475,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2021",32.825,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2021",138.091,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",6613.952,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",46.025,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",176.21,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",47.028,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",7.531,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",641.865,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2021",3615.256,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",631.116,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",288.054,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2021",879.11,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2021",40.572,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2021",241.185,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2021",4834.379,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2021",46.025,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2021",147.163,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_NIFL_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2021",46.893,,,,"R1:3513_S3:8"
