"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_TOTAL","2021",39.6,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_02","2021",51.23,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_11","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_12","2021",44.93,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_13","2021",43.99,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_14","2021",46.3,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_21","2021",42.43,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_22","2021",40.06,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_23","2021",28.81,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_24","2021",35.62,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_26","2021",34.74,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_32","2021",42.49,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_33","2021",39.86,,"T11:142","R1:3513_S3:8"
