"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_T","ECO_SECTOR_TOTAL","2021",86.125,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_T","ECO_SECTOR_AGR","2021",99.15,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_T","ECO_SECTOR_NAG","2021",73.713,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_T","ECO_SECTOR_IND","2021",86.758,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_T","ECO_SECTOR_SER","2021",62.916,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_T","ECO_SECTOR_X","2021",97.36,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_M","ECO_SECTOR_TOTAL","2021",82.633,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_M","ECO_SECTOR_AGR","2021",98.841,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_M","ECO_SECTOR_NAG","2021",70.815,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_M","ECO_SECTOR_IND","2021",84.126,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_M","ECO_SECTOR_SER","2021",62.736,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_M","ECO_SECTOR_X","2021",93.143,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_F","ECO_SECTOR_TOTAL","2021",97.295,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_F","ECO_SECTOR_AGR","2021",99.746,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_F","ECO_SECTOR_NAG","2021",91.578,,,,"R1:3513_S3:8"
"AFG","BA:15715","SDG_0831_SEX_ECO_RT","SEX_F","ECO_SECTOR_IND","2021",96.729,,,,"R1:3513_S3:8"
