"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_TOTAL","2025",670.121,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_BAS","2025",3.889,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_INT","2025",3.945,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_ADV","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_X","2025",660.408,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L3-4","EDU_AGGREGATE_TOTAL","2025",36.452,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L3-4","EDU_AGGREGATE_BAS","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L3-4","EDU_AGGREGATE_INT","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L3-4","EDU_AGGREGATE_ADV","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L3-4","EDU_AGGREGATE_X","2025",35.875,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L2","EDU_AGGREGATE_TOTAL","2025",537.09,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L2","EDU_AGGREGATE_BAS","2025",3.395,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L2","EDU_AGGREGATE_INT","2025",2.998,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L2","EDU_AGGREGATE_ADV","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L2","EDU_AGGREGATE_X","2025",529.814,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_TOTAL","2025",96.472,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_BAS","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_INT","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L1","EDU_AGGREGATE_ADV","2025",,"U",,,"R1:3513"
