"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","1997",3.339,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","1997",0.753,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","1997",1.855,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","1997",0.378,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_TOTAL","1997",3.339,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_1","1997",0.148,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_2","1997",0.49,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_3","1997",0.115,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_4","1997",0.575,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_5","1997",0.673,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_6","1997",0.016,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_7","1997",0.542,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_8","1997",0.049,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_9","1997",0.378,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_ISCO88_X","1997",0.353,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","1994",2.48,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","1994",0.3,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","1994",0.39,,,,
"ABW","BA:829","UNE_TUNE_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","1994",1.19,,,,
